id,name,uuid,code,complementary_code,active,area_code,equipment_code
19,Freq. Converter Output,82626adc-7179-40de-ad12-2fa9ea3bbe07,NE04,,1,1006,YC21
20,Switching Main Drive,f24f379b-61d4-467c-85da-0cce08cd969f,NE05,,1,1006,YC21
21,Switching Fan Drive,df1928da-e3c6-45f5-8a19-3be024f80d82,NE06,,1,1006,YC21
22,Powerfactor correction 690V,f70fd9dc-44fa-4271-8c7f-dcb98a85480d,NE07,,1,1006,YC21
23,Proximity Sensor,2eb5db9e-9e2f-4f92-8a8d-a6a57cac29b8,PS01,,1,1621,FB01
24,Proximity Sensor,0c579efe-5a0a-426c-b1a2-d62eb1a5a7a0,PS01,,1,1621,FB02
25,Proximity Sensor,bac049ff-acf7-4e3e-8d15-f4ea79315eb8,PS01,,1,1621,FB03
26,Belt,a6513cde-1555-4449-8cdd-c69666799b6a,BT01,,1,1621,WF01
27,command group,dbbc6713-8968-4de4-91c3-369c39b6759d,CG01,,1,1621,WF01
28,gear-motor,ee92c390-03ac-4701-b7e2-bcd6cb5cdb31,CG01,GM01,1,1621,WF01
29,Drum of command,df08c80d-8a46-42b2-91f7-5eb8c8f4aab7,CG01,DR10,1,1621,WF01
30,drum of return,23e25cb2-26db-4228-a87e-6df28eba60c3,CG01,DR20,1,1621,WF01
31,rolls,b9e409c9-cfd1-42b3-89e5-9555eb9096ab,CG01,DR30,1,1621,WF01
32,Weighing system,d5046996-c856-4a24-8d45-b3c1aa2c8a0e,CG01,WS01,1,1621,WF01
33,Emergency stop,17321a4c-c57a-4190-9363-b2bb559e9f96,XX01,,1,1621,WF01
34,Rotation Sensor,e0a455e6-07b2-4ba0-8e01-209faaa2e8d5,SS01,,1,1621,WF01
35,Belt,d72ea0d6-9b07-427d-841e-640367776448,BT01,,1,1621,WF02
36,command group,48b549a1-b626-481e-a802-ed7f65704158,CG01,,1,1621,WF02
37,gear-motor,d71b33f7-655e-47f8-b85e-798693e20f40,CG01,MR01,1,1621,WF02
38,Drum of command,7b45e2ca-e055-4d3f-997a-bf80da139b98,CG01,TA10,1,1621,WF02
39,drum of return,f5a2f2a9-17ae-41ff-bdc9-4fed7f2558e0,CG01,TA20,1,1621,WF02
40,rolls,0d60dcf4-188c-4e76-b24e-466bd74a29c6,CG01,TA30,1,1621,WF02
41,Weighing system,93fd9148-630b-4e6d-8c68-2fed08ad4c16,CG01,WS01,1,1621,WF02
42,Emergency stop,11457747-1454-4f4c-b5bb-6859ae3b1632,XX01,,1,1621,WF02
43,Rotation Sensor,7393166b-176d-4461-a09b-8a101b9791df,SS01,,1,1621,WF02
44,Belt,3d81bcc2-579c-458c-8e0a-ebfe4b0dfa4c,BT01,,1,1621,WF03
45,command group,03b63818-7925-4cfd-b1ab-e1435bec3f46,CG01,,1,1621,WF03
46,gear-motor,6a7b32fd-946c-4ec6-9bdc-9fe4f1338693,CG01,GM01,1,1621,WF03
47,Drum of command,4527b935-7ea7-46c9-9a1b-2d377d5f4774,CG01,DR10,1,1621,WF03
48,drum of return,f98a5368-314d-492a-a913-6bc431968227,CG01,DR20,1,1621,WF03
49,rolls,c7169198-cc8f-4800-8921-31d1854dcda4,CG01,DR30,1,1621,WF03
50,Weighing system,7fcd78d3-493b-45c8-9798-4c92fa63a91e,CG01,WS01,1,1621,WF03
51,Emergency stop,b6d11ae8-50f8-4736-b1d4-a79b80e8b368,XX01,,1,1621,WF03
52,Rotation Sensor,6b75bc1b-e81d-4bd6-b18c-9d753f90b124,SS01,,1,1621,WF03
53,Casing,7677cf1b-563d-4e44-a96b-65f4f4890c55,HB01,,1,1621,DE01
54,bag filter,07b56390-6c20-469e-82c1-5b1369caa87c,MF01,,1,1621,DE01
55,Pneumatic declogging,dd90d578-2230-45df-8d5d-3b0aa17d434a,PD01,,1,1621,DE01
56,Draft fan,a2c35bfd-e6a7-4425-9acc-4d2f8721d794,FN01,,1,1621,DE01
57,Rotary Valve,23cabe6e-11d8-4e31-83fe-23a1859ca61e,RG01,,1,1621,DE01
58,Speed Sensor,1c5a75f1-cc8d-4f43-b7b9-5ef6f859be55,SS01,,1,1621,DE01
59,Emergency stop,3c6eb088-5923-4e96-953a-28dcbf062462,XX01,,1,1621,DE01
60,Casing,12e64be2-9f4e-4bd9-b6c1-addd12ad7a31,HB01,,1,1621,DE02
61,bag filter,9635e97d-65dc-4c5a-9750-770c45c57c3b,MF01,,1,1621,DE02
62,Pneumatic declogging,23373b46-532b-4f50-80c9-a50b7608ebd3,PD01,,1,1621,DE02
63,Draft fan,61f10222-7174-444f-9a32-51b4838ecb3b,FN01,,1,1621,DE02
64,Emergency stop,d18a8c67-bb62-4f8b-b048-8e7536a9747c,XX01,,1,1621,DE02
65,Casing,445cec7e-6301-4841-9050-95ed6a41a8f1,HB01,,1,1621,DE03
66,bag filter,63f90d0d-2667-4ec2-8cc8-6898d12aeeb5,MF01,,1,1621,DE03
67,Pneumatic declogging,73b40cd6-5f3a-4c35-ad56-0897ba9afabd,PD01,,1,1621,DE03
68,Draft fan,d31b35c6-ecff-4e28-8fe4-054257ad07d6,FN01,,1,1621,DE03
69,Bande,06f45c96-9331-4a3b-bc0e-84c82c557f12,BT01,,1,1621,BC01
70,command group,b261a5a6-8412-4ae4-b942-46ed74f592b7,CG01,,1,1621,BC01
71,Drum of command,db423149-7288-4edc-8ed5-e1caac357e53,DR10,,1,1621,BC01
72,drum of return,7338b0aa-557d-495d-a3f5-c5f22dea8d9e,DR20,,1,1621,BC01
73,rolls,6b68a248-c675-47da-8fed-f517dde1604c,DR30,,1,1621,BC01
74,Weighing system,94b5033c-5adf-4fba-b502-dd106ec0094a,WS01,,1,1621,BC01
75,Speeding Indicator,0e5420bf-1ae5-432c-a007-e6ca4b347396,SI01,,1,1621,BC01
76,Emergency stop,57c152e7-433e-462d-8f7f-4acbd41a001c,XS11,,1,1621,BC01
77,Emergency stop,c653bed8-afd8-4d78-adb7-28f041e09207,XS12,,1,1621,BC01
78,Band Deport,a36a7ef6-ab15-4c4d-b857-fc6afba317a3,XS21,,1,1621,BC01
79,Band Deport,422a30df-89d6-4aa6-aba2-a2c7748c7c22,XS22,,1,1621,BC01
80,Emergency stop,76e4767e-317a-4bb5-8c15-619784026216,XX09,,1,1621,BC01
81,Temperature Sensor,f4aa56cb-a1af-4d23-be0e-9eccb12374f2,TS09,,1,1621,BC01
82,Bande,8abc69ef-7546-4f23-9c44-c5345d23dd83,BT01,,1,1621,MS01
83,command group,fff47a02-74d6-4b9c-8e61-624eb35ab420,CG01,,1,1621,MS01
84,command drum,7c5707f3-89a9-4120-9ce8-7d50006c4520,DR10,,1,1621,MS01
85,return drum,2ed97ed6-623a-459e-86a7-30fee99ecadf,DR20,,1,1621,MS01
86,Speed Sensor,3fa72101-9e98-4476-89b9-292a3560d52d,SS01,,1,1621,MS01
87,Emergency stop,030f929a-7e3a-430d-b117-8dbb9026821b,XS01,,1,1621,MT01
88,Emergency stop,85b235a7-c62d-42d7-8a2d-726726ed68b7,XS02,,1,1621,MT01
89,Emergency stop,79291b26-fed2-4a46-86df-8e61da6aedd6,XS03,,1,1621,MT01
90,Belt,2c2dddff-fbd9-4ccb-a605-8deee619d71f,BT01,,1,1621,BC02
91,command group,173a8ee1-a160-419f-9200-0a2f0a7689ae,CG01,,1,1621,BC02
92,Drum of command,a327623a-88ec-494b-bed4-c941781f3dda,DR10,,1,1621,BC02
93,drum of return,a1fbe360-dfdf-4c8d-9afb-68bc71229fac,DR20,,1,1621,BC02
94,rolls,b6f6aa42-0ab2-4527-88a9-2ec23012a3cd,DR30,,1,1621,BC02
95,Weighing system,dc874b3e-e133-4dee-a273-7abd3acd3659,WS01,,1,1621,BC02
96,Speeding Indicator,6ee47633-e6ea-44d8-9708-d6ae99488611,SI01,,1,1621,BC02
97,Speeding Indicator,5a1f2ee3-1d14-4edc-82ab-111630ae444c,SI02,,1,1621,BC02
98,Emergency stop,3f8cda4e-68d6-4158-ae90-2e5727123f95,XS11,,1,1621,BC02
99,Emergency stop,1baa0986-5c72-4bde-9614-9c2251ad42d3,XS12,,1,1621,BC02
100,Band Deport,de665c64-fa19-49f6-92b2-b826539cba97,XS21,,1,1621,BC02
101,Band Deport,b65dd261-753e-43c0-a2fe-725412be5d78,XS22,,1,1621,BC02
102,Band Deport,8a141cd4-d45f-49ba-be7d-524d73d335e6,XS23,,1,1621,BC02
103,Band Deport,d15b9291-5ffb-4d14-b6fa-6911b37b566c,XS24,,1,1621,BC02
104,Emergency stop,852f0e5c-2ada-4ff6-87db-c6d49be25f35,XX09,,1,1621,BC02
105,Temperature Sensor,1632912d-e64d-4aa9-8a68-52f046d8161a,TS09,,1,1621,BC02
106,Belt,650b9a77-6701-4675-923a-307c93fe3764,BT01,,1,1621,BC03
107,Drum of command,7795db02-b28e-4a66-8a79-72919084379a,DR10,,1,1621,BC03
108,Vibration Indicator,912c1730-1e35-4053-a960-536b6b7383f7,VI01,,1,1631,RM01
109,Vibration sensor,c8298709-5eb7-44d5-be0c-1aad6af8811f,VS01,,1,1631,RM01
110,Vibration sensor,3b046243-6ad5-4dde-a945-5f2dcf2a4565,VS02,,1,1631,RM01
111,Vibration sensor,eac3fa43-b9f5-4274-895f-bc5640805261,VS03,,1,1631,RM01
112,Temperature Indicator,2aac21e4-14ee-466a-82fd-5a0f1cec5d74,TI11,,1,1631,RM01
113,Speed Indicator,7611690d-75cb-408e-a021-9541dc88d34e,SI11,,1,1631,RM01
114,Temperature Indicator,bcb6dcac-5a87-4c92-ab65-d50ed8a561ea,TI21,,1,1631,RM01
115,Speed Indicator,baf7df47-4ff7-4556-bcb7-487cf063e0d1,SI21,,1,1631,RM01
116,Temperature Indicator,135b27e9-fab8-4c4e-aae6-5cfb22043531,TI01,,1,1631,MD01
117,Temperature Indicator,57111d80-ede1-42a2-bfd3-10bc47756e3e,TI02,,1,1631,MD01
118,Temperature Indicator,6ad75aa9-cb7b-4ec2-aad7-dafe5b7567e9,TI03,,1,1631,MD01
119,Temperature Indicator,41e0e76b-9189-42b2-bfde-0882cc7ee484,TI11,,1,1631,MD01
120,Temperature Indicator,5ec8c54a-0595-4459-877a-936516c914d7,TI12,,1,1631,MD01
121,Emergency stop,74bc7bf8-4292-4b0e-b92b-1b89c1e795b4,XX09,,1,1631,MD01
122,Main Drive,aadf25ae-9c4b-4266-9156-f82c748dc7c1,MD01,,1,1631,LQ01
123,Main Drive,f576326f-c68e-4c3f-b236-43c5815d059f,MD02,,1,1631,LQ01
124,Pump,6834c96a-53e8-4cb0-8168-41df69549148,PU01,,1,1631,LQ01
125,Flow switch,818f01be-2601-41e4-a540-c11ed2264942,FS01,,1,1631,LQ01
126,Pressure Sensor,e03235ac-1e99-4bd1-b05a-a15348b15643,PS05,,1,1631,LQ01
127,Temperature Indicator,f60347b3-c997-4fb2-8142-1059a0b7d8f2,TI01,,1,1631,LQ01
128,Emergency stop,f639a057-d3cd-43c7-aa65-f14747cbe087,XX01,,1,1631,LQ01
129,Pressure Indicator,5a8a4104-a026-4533-85ac-d343628bc416,PI01,,1,1631,LQ01
130,Pressure Sensor,2ae4d5b1-c588-406c-be76-12e2fbb58f88,PS01,,1,1631,LQ01
131,Pressure Indicator,43f57ace-1a11-44c7-9976-ccf718a1b8b2,PI10,,1,1631,LQ01
132,Pressure Indicator,5a5b7112-bbcb-41b2-85cc-e6868b771186,PI12,,1,1631,LQ01
133,Pressure Indicator,5fa9d201-9545-4fad-9361-538e653d22ca,PI13,,1,1631,LQ01
134,Pressure Indicator,2409f155-93f6-4600-9c0d-2bc98af69663,PI14,,1,1631,LQ01
135,Pressure Indicator,fea7c12e-64a3-4470-822c-8973dda13a29,PI15,,1,1631,LQ01
136,Main Drive,99eeeaff-e0c4-47f3-868c-07dddb7d9961,MD01,,1,1631,LQ11
137,Pump,e596e9a4-c38f-41d9-8a43-b529d64f75ef,PU01,,1,1631,LQ11
138,Level Sensor,f49ae67d-291a-409f-8b6d-ff1d340cfbdd,LS01,,1,1631,LQ11
139,Temperature Indicator,4b1f811d-7efa-4c40-b003-e0c9d2cc6728,TI01,,1,1631,LQ11
140,Temperature Indicator,cb25d652-3af0-4178-82ca-dc01af28d990,TI12,,1,1631,LQ11
141,Temperature Indicator,a4b79411-3c2f-4bc0-a075-a2fc8af567a7,TI22,,1,1631,LQ11
142,Pressure Indicator,fb64c820-4b74-48d2-a6c9-29f15e63c7a6,PI01,,1,1631,HS11
143,Pressure Indicator,fe5dd1e9-ec73-4581-80f4-5f1854cf206d,PI02,,1,1631,HS11
144,Temperature Indicator,1948935a-32a8-4ab9-90f3-86a74ad8c7bc,TI01,,1,1631,HS11
145,Level Sensor,7e3485a2-4fd3-4bc8-8848-29aa60abfe03,LS01,,1,1631,HS11
146,Temperature Sensor,9e48d558-f746-4638-b532-eb72ffc78a97,TS09,,1,1631,HS11
147,Emergency stop,e52b8370-aa38-49d7-af79-41b199b5f087,XX09,,1,1631,HS11
148,Main Drive,8503f281-7e21-4f4e-98c6-9d0cb9bc2ee0,MD01,,1,1631,LQ41
149,Pump,4bb70c3d-05c5-497d-a295-7773e729cbc1,PU01,,1,1631,LQ41
150,Level Sensor,eab11ac8-fa72-43c0-986a-9557c14dce54,LS01,,1,1631,LQ41
151,Flow switch,ce29d8bc-4852-4651-b1a2-8536c48ebb9a,FS11,,1,1631,LQ41
152,Flow switch,0e7d01a9-2ce3-47ee-b457-f1688663f31a,FS21,,1,1631,LQ41
153,speed sensor,5bc391aa-fda4-4f91-b0fe-e260e6ea97c2,SS01,,1,1631,GB01
154,Temperature Indicator,bc4e78d7-80aa-46b8-b101-3bf71c0d73ef,TI50,,1,1631,GB01
155,Temperature Indicator,fde3e2bf-9951-4f63-842b-18aa49b422a6,TI51,,1,1631,GB01
156,Temperature Indicator,079d99ba-b6d8-4206-8b9d-3ed089b416cd,TI71,,1,1631,GB01
157,Level Sensor,dea5c4ab-55f7-4ee9-ad20-33c8cdc39ecb,LS01,,1,1631,GB01
158,Water Tank,acdac9fd-f197-41fb-b2a8-1a94840384ce,TK01,,1,1631,WI01
159,Level Sensor min,12104212-ecd3-447f-a8cd-88d35f0ebfdc,TK01,LAS01,1,1631,WI01
160,Level Sensor min,09c5f728-a81b-4c4c-bb50-a9981f301c7b,TK01,LAS02,1,1631,WI01
161,Water Pump,e07c5283-36d9-4cb7-a17b-a1239db54602,TK01,PU01,1,1631,WI01
162,Separator Valve,e59107e9-8fb1-4bf8-afac-c3fa77d099ec,SV01,,1,1631,WI01
163,Separator Valve,ae218136-e556-48fd-a3c8-2be0c3c190f1,SV02,,1,1631,WI01
164,Separator Valve,7da958f2-bd30-4bbb-be5f-581bacf02830,SV03,,1,1631,WI01
165,Flow Indicator,f3d9f2f1-1f31-4d28-bfc5-2a129bde4447,FI01,,1,1631,WI01
166,Temperature Sensor,98095590-7868-4692-980a-2e3c1eea2b4c,TS09,,1,1631,WI01
167,Emergency stop,75720415-52fc-47c4-96c6-8000fcebd590,XX09,,1,1631,WI01
168,Fan motor,0c4966b7-f1e6-461b-b839-148bd0bce7cd,MD01,,1,1631,FN01
169,Belt,887e5a9e-9e92-42e3-aeb4-8368e0983976,BT01,,1,1641,BC01
170,command group,bf77c4c1-841a-452d-ab77-16e208e84a0f,CG01,,1,1641,BC01
171,Drum of command,34721c38-d042-4c37-bc06-f23fae1daf2f,DR10,,1,1641,BC01
172,drum of return,655b9463-7e35-4b29-83e0-67d9e52c5369,DR20,,1,1641,BC01
173,rolls,85f7cb4c-2c9e-48f5-8ffb-7bb9faa2b8e0,DR30,,1,1641,BC01
174,Weighing system,9af85b6c-2487-454e-bf6e-7473e7dc12a9,WS01,,1,1641,BC01
175,Emergency stop,a288ed6f-67e2-4239-acf8-9ca43373b680,XS11,,1,1641,BC01
176,Emergency stop,7c15097c-e150-401d-ac81-89226807c1b6,XS12,,1,1641,BC01
177,speed sensor,e6ef8d38-2aaa-43e3-860f-f4903529ce93,SS01,,1,1641,BC01
178,Belt,55dfd5cc-fa6c-4197-9f09-d59c9253eeb1,BT01,,1,1641,BC02
179,command group,08cb48ae-a72e-486b-860f-772e8edba1e6,CG01,,1,1641,BC02
180,Drum of command,133ed221-1648-45ee-ba5f-bef1a62064a1,DR10,,1,1641,BC02
181,drum of return,6cbcce0e-f5e6-4941-84ec-46e223b50083,DR20,,1,1641,BC02
182,rolls,f421bfc7-c02e-457d-988c-5293f57581e7,DR30,,1,1641,BC02
183,Emergency stop,18c222af-9872-4f96-af36-dea2a37b01bb,XS11,,1,1641,BC02
184,Emergency stop,40fd2838-c5e8-47de-a325-d85148f87426,XS12,,1,1641,BC02
185,speed sensor,cad831b0-47f0-4213-a399-88a637cb8090,SS01,,1,1641,BC02
186,Motor Classifier,6b27713f-7cc5-4680-9384-e863bf571638,MD01,,1,1651,CL01
187,Temperature Indicator,e67ebe13-b33b-4375-b4c6-c09a79b817c8,TI01,,1,1651,CL01
188,Temperature Indicator,86fce014-6f9d-4c5d-925b-17a45b631abb,TI02,,1,1651,CL01
189,Emergency stop,ca03c4bd-42d8-4633-a573-aa58bc3cbf47,XX09,,1,1651,CL01
190,Speed Indicator,04c568d6-3675-43c9-b847-41dd01e800c2,SI01,,1,1651,CL01
191,Main Drive,29fa7533-9f3f-480d-8f5b-f95a1852c1b1,MD01,,1,1651,LQ42
192,Pump,55dbfdbd-1142-4310-841e-64cde5006bc0,PU01,,1,1651,LQ42
193,Level Sensor,89cb5b9f-cbda-4d4d-8dc9-931b737f0fcc,LS01,,1,1651,LQ42
194,Flow switch,f3b4cd94-5cbe-44c3-9891-37da05677ebb,FS01,,1,1651,LQ42
195,Bag Filter,2437202c-38f8-46d7-8740-d69b3c642c3e,BA01,,1,1651,BF01
196,Temperature Indicator,a6ed802c-ad38-4f52-a9c8-2f576ace9a00,TI01,,1,1651,BF01
197,Temperature Sensor,f1a1ac08-233f-4183-b9ef-1683e827126b,TS15,,1,1651,BF01
198,Level Sensor,d61d16b5-1ac0-431c-a94e-dace0b7c603d,LS11,,1,1651,BF01
199,Emergency stop,390b414c-9eff-4759-ac6c-410c67582b65,XX01,,1,1651,BF01
200,Pressure Indicator,2a305603-54e4-4435-b67a-484e204fade7,PI01,,1,1651,BF01
201,Pressure Sensor,c70bc948-d86c-4714-8047-7d3b1b0b585c,PS01,,1,1651,BF01
202,Level Sensor,769865df-944a-4dd2-b4f0-d7db80be8926,LS01,,1,1651,BF01
203,command group,81fed2bc-b439-49d4-907b-57224dacb39e,CG01,,1,1651,SC01
204,Speed Sensor and proximity,901f63e3-78f5-4e07-a94f-305daea3cf1b,SS01,,1,1651,SC01
205,command group,f800b69c-9f6f-4080-9254-d5080c46deda,CG01,,1,1651,RG01
206,Speed Sensor,fbce10de-f6fd-4ba6-959e-69a965cd5326,SS01,,1,1651,RG01
207,Pressure Indicator,337640fd-828e-43de-8da9-0cc1f747063a,PI01,,1,1651,DU01
208,Pressure Indicator,dbb2ffc8-1541-401c-8c95-a4ed6995875e,PI02,,1,1651,DU01
209,Temperature Indicator,c60da2c3-8aa7-4e8e-9631-c6eca16fd964,TI01,,1,1651,DU01
210,Temperature Indicator,e148d0ed-2da1-41d0-9e54-36dad4ab3bf8,TI01,,1,1661,FN01
211,Temperature Indicator,bf412d7c-729f-4300-8b48-7be78bc4311e,TI02,,1,1661,FN01
212,Temperature Indicator,86199c25-831e-4ddd-a0dd-ebaceeae4edf,TI03,,1,1661,FN01
213,Temperature Indicator,c885c414-f395-4022-86dc-72491f33f969,TI11,,1,1661,FN01
214,Temperature Indicator,1525a456-02d2-4900-baee-1728980e9095,TI12,,1,1661,FN01
215,Temperature Indicator,03dc10f3-3270-4207-8738-e8e50296d4a7,TI21,,1,1661,FN01
216,Vibration Indicator,bbde058f-7e62-454d-99be-f66a577184f6,VI01,,1,1661,FN01
217,Vibration Indicator,a147ece8-4e60-4d4e-8a14-9ccad74fb805,VI02,,1,1661,FN01
218,Emergency stop,757f1453-3b06-41bd-ac63-4be9dbac3dea,XX09,,1,1661,FN01
219,Speed Indicator,a1bf8c60-6776-4e18-ae59-996c5acefd41,SI01,,1,1661,FN01
220,Combustion Chamber (LOMA),66f1dcc7-f107-48c2-b848-a812e2b980be,CB01 ,,1,1661,HG01
221, Protective Sheath ,3c893998-ced1-4f35-ba5e-6cf88bf53c4c,CB02,,1,1661,HG01
222, Perforated Jacket,fc47b1cf-2430-44fc-aa4f-67c66d443109,CB03,,1,1661,HG01
223,Spiral Housing ,73f2e657-b1c1-4d5c-8b07-ff38c0328654,CB04,,1,1661,HG01
224,Muffle,de0c0309-cd09-4bcd-b8d9-f3dc8ca13786,CB05,,1,1661,HG01
225,Refractory Lining ,c3c99640-3dc5-4f88-b428-a5ad27e60bad,RT01,,1,1661,HG01
226,Fresh Air Flap ,ebdbfc4b-6440-4cf9-ac81-4969b21f91a9, VT53,VFV01,1,1661,HG01
227,Actuator for Fresh Air Flap,b1f06049-054d-4c5a-a986-90ab423ed96e,VT53,ACE01,1,1661,HG01
228,Burner Unit,6f00cd98-41b3-47b9-98ee-af5dc6da933d,BU01,,1,1661,HG01
229,IR Flame detector,b9c7d558-aa8a-4593-8c3f-4028cdfcd103,BU01,IRF01,1,1661,HG01
230,Ignition transformer,051abf9f-f984-4971-a611-a8dd1491917d,BU01,IGT01,1,1661,HG01
231,Ignition electrode,ee249e30-2bc1-4c7f-b8d9-65acba205d16,BU01,IGE01,1,1661,HG01
232,Combustion Air Train,01855901-de3c-4db6-a9a5-b9a798f5c264,BU01,VT51,1,1661,HG01
233,Air Damper,48549343-d030-483a-8876-8bf22e354ca9,BU01,DA01,1,1661,HG01
234,Air Damper Actuator,af835216-9134-410f-b0d1-1311f32ff5c7,BU01,ACE01,1,1661,HG01
235,Silencer,8654273e-419f-48df-8202-525123bd25a3,BU01,SI01,1,1661,HG01
236,Air Damper,9eb1c9dd-bda8-4aef-862b-70da2d6cf0a2,BU01,DA02,1,1661,HG01
237,Air Damper Actuator,7fba03b7-03bf-458f-9cbc-3bbcdf1ba097,BU01,ACE02,1,1661,HG01
238,Fan Wheel,43c70b51-ed15-4c3e-87b1-8c00b55158f4,BU01,FN01,1,1661,HG01
239,Electrical Motor,9eb6b1a7-1ac4-4ec2-a74a-8b14e90bcbf7,BU01,M01,1,1661,HG01
240,Pressure Switch,051ba8b3-d59b-4c2c-8fcd-98c87e710cf9,BU01,PSL01,1,1661,HG01
241,3-Way Solenoid Valve ,7566f2a4-370d-4abf-a445-0958d7365683,BU01,SV03,1,1661,HG01
242,Light Oil Train,4ffd4480-5039-40a0-86dd-d4720fe9ee47,BU01,,1,1661,HG01
243,Flexible Hose,430c4d38-d4d1-468b-9be3-3f6a76f54699,BU01,FH01,1,1661,HG01
244,Solenoid Valve,dc101bd7-ba60-4749-9d81-255a2330d230,BU01,SV01,1,1661,HG01
245,Ball Valve,06016c58-816f-41e8-b4c8-215f17174ddd,BU01,BV01,1,1661,HG01
246,Pressure Gauge,8e0c7ec0-44db-404a-bff8-a24c3b769dc4,BU01,PIN01,1,1661,HG01
247,Oil Lance,327794f4-5b8b-428f-b2ad-51018e44fe1f,BU01,OL01,1,1661,HG01
248,Actuator,c274749e-8629-4650-8570-9a177a77765c,BU01,ACE03,1,1661,HG01
249,Flexible Hose,914b0c17-c4a3-4424-bfd5-b9a88af4035a,BU01,FH02,1,1661,HG01
250,Pressure Gauge,bd1aad94-d9ba-46af-9e4c-3ae6ea7616c0,BU01,PIN02,1,1661,HG01
251,Ball Valve,f7af54ea-2303-4841-8bfe-995bce83c923,BU01,BV02,1,1661,HG01
252,Pressure Regulator,d530e12b-33dd-410b-9f7b-4393ed0f01a5,BU01,PR01,1,1661,HG01
253,Actuator,1ab63e9b-2830-4985-b229-ea63981b57e3,BU01,ACE04,1,1661,HG01
254,Pressure Switch (max),de3d6255-402b-43f6-ba98-0bfe19390113,BU01,PSH01,1,1661,HG01
255,Check Valve,2c9b8520-04f9-4ad7-8037-fdbad29e64ff,BU01,NRV01,1,1661,HG01
256,Check Valve,2e834580-d87c-4a96-991a-6875184caf8f,BU01,NRV01,1,1661,HG01
257,Fuel Handling Systems,9fdcbbc4-9c70-400b-80cc-8f219f6d8b9d,PU02,,1,1661,HG01
258,Light Oil Unit,e429fccb-9d4a-4434-8d0c-8d58301c6e06,PU02,,1,1661,HG01
259,Ball Valve,2c71c835-91de-44a6-a69a-01f5915416be,PU02,BV01,1,1661,HG01
260,Solenoid Valve,43d1e028-a63a-461d-89a3-357211a7442e,PU02,SV01,1,1661,HG01
261,Ball Valve,2f83cc14-5ea2-4e81-9e3b-9634323e9918,PU02,BV02,1,1661,HG01
262,Pressure Gauge,a6a1abdc-25a1-4152-9ed7-e256d6fffc20,PU02,PIN01,1,1661,HG01
263,Filter,177996d2-3d49-4ac6-8aff-447fea575cd6,PU02,FIL01,1,1661,HG01
264,Oil Flow Meter with Pulser ,fd706a17-a457-4d9d-9b0f-06b0331eb42c,PU02,FOM01,1,1661,HG01
265,Degassing Bottle ,ed6755d9-908e-4ff0-95c8-5d98a90eb234,PU02,DGB01,1,1661,HG01
266,Ball Valve,ff9eaeaa-43dc-458d-9359-3468c1808016,PU02,BV03,1,1661,HG01
267,Pump with regulator,d17b9e95-03c0-4f50-ba0a-5868ddc94bf3,PU02,PU01,1,1661,HG01
268,Electrical Motor,e7e91c0b-c79d-4e6a-8bee-46ed022bb05b,PU02,M01,1,1661,HG01
269,Pressure switch (min),74f5cdd2-2ca2-4d80-85e2-63285c5f765c,PU02,PSL01,1,1661,HG01
270,Ball Valve,0e80e547-e31c-4f76-8e42-a6290f8657aa,PU02,BV04,1,1661,HG01
